trial_id,timestamp,generation,best_deviation,mean_deviation,std_deviation,learning_rate,sigma,theta_a,theta_b,generation_time
0,20241114_170409,0,100.31299817383903,75.9631484295284,10.088229689555888,0.009000000000000001,0.1,0.9900000000004703,-0.009999999997600659,5.05602240562439
0,20241114_170409,1,92.9600160356255,70.8681980077677,10.31344685967072,0.008100000000000001,0.09801986733067553,0.9810122583066783,-0.01888738128739391,5.03842306137085
0,20241114_170409,2,92.9600160356255,71.78727365770534,12.935299561362298,0.007290000000000001,0.09607894391523232,0.9728991683134526,-0.026751705065396862,5.014472723007202
0,20241114_170409,3,92.9600160356255,69.0332529814539,12.317873456633055,0.006561000000000002,0.09417645335842488,0.9655745899297796,-0.03382978610877761,5.1731531620025635
0,20241114_170409,4,92.9600160356255,71.88727368743594,12.70743020254347,0.005904900000000002,0.09231163463866358,0.9589672245818894,-0.03733023581280708,5.034274339675903
0,20241114_170409,5,90.01818409352312,72.13193877018892,12.898103318973591,0.005314410000000002,0.09048374180359596,0.9529863733130017,-0.038812600300487304,5.1378021240234375
0,20241114_170409,6,86.98311531584463,67.59143233687384,10.886993079992182,0.004782969000000002,0.08869204367171575,0.9475916139159706,-0.0416010066843238,5.168839454650879
0,20241114_170409,7,86.98311531584463,68.7763525468741,9.429718900317917,0.004304672100000002,0.0869358235398806,0.9427723148979851,-0.04458437569633736,4.880319356918335
0,20241114_170409,8,86.98311531584463,64.8419737498384,13.898802279158588,0.003874204890000002,0.08521437889662115,0.9383864443957886,-0.047734274104310824,4.837950706481934
0,20241114_170409,9,86.9136586814057,65.08991599560325,10.041932105331572,0.003486784401000002,0.0835270211411272,0.934439891649125,-0.05078932919102655,4.892786741256714
0,20241114_170409,10,86.9136586814057,67.22053224269993,10.910597104500921,0.003138105960900002,0.0818730753077982,0.9308862702033701,-0.05280282038583409,5.090310335159302
0,20241114_170409,11,86.9136586814057,64.06323925512129,11.054227418176895,0.0028242953648100018,0.08025187979624786,0.9276778177940525,-0.05422582047809234,5.019909858703613
0,20241114_170409,12,83.55469969352436,65.46322432445173,10.334701811649913,0.0025418658283290017,0.07866278610665535,0.9247766015044654,-0.05585102417516606,4.743875503540039
0,20241114_170409,13,83.50810306958977,64.44541049083612,9.40246934359245,0.0022876792454961017,0.07710515858035663,0.9221723289174332,-0.05740126247434247,5.052944183349609
0,20241114_170409,14,83.50810306958977,63.306485392628844,11.575313934123917,0.0020589113209464917,0.07557837414557256,0.9198064145398562,-0.058995330683041414,4.987462759017944
0,20241114_170409,15,78.34587566319088,65.3688545588718,6.987510299856747,0.0018530201888518425,0.0740818220681718,0.9177074939475974,-0.059755208555755376,5.078113317489624
0,20241114_170409,16,78.34587566319088,64.35465752909903,7.868535852876876,0.0016677181699666583,0.0726149037073691,0.9158280221947528,-0.06033614193994846,5.27900505065918
0,20241114_170409,17,77.45633251698507,61.291665410782315,8.614054381498008,0.0015009463529699924,0.07117703227626097,0.9141295548584512,-0.060905303361115305,4.70638632774353
0,20241114_170409,18,77.45633251698507,64.90687485915537,8.169715468793346,0.0013508517176729932,0.0697676326071031,0.9125970101723068,-0.06154123195789298,5.007174968719482
0,20241114_170409,19,77.45633251698507,63.342268696002776,10.152613816297313,0.001215766545905694,0.06838614092123559,0.9111935978998644,-0.06225021916137624,4.6753833293914795
0,20241114_170409,20,77.45633251698507,63.499673835229075,9.71441548126155,0.0010941898913151245,0.06703200460356394,0.9099100198396979,-0.06300078764904657,4.706748962402344
0,20241114_170409,21,77.45633251698507,60.9964703202609,9.316529146664982,0.001,0.06570468198150568,0.9087408506640107,-0.06354669147511553,5.07177472114563
0,20241114_170409,22,77.45633251698507,62.631746664971885,8.637558633064407,0.001,0.06440364210831415,0.907667831091328,-0.0639458382793521,5.384806394577026
0,20241114_170409,23,77.45633251698507,63.25008459285787,8.192919666035431,0.001,0.0631283645506926,0.9065894789832225,-0.06402600862017867,5.6434855461120605
0,20241114_170409,24,77.45633251698507,64.69590550070873,8.320702353590937,0.001,0.061878339180614084,0.9055094083190294,-0.06404569099727939,5.606420516967773
0,20241114_170409,25,77.45633251698507,61.497968628322035,9.43232391417417,0.001,0.06065306597126335,0.9044124240051896,-0.0640183019229003,5.454157114028931
0,20241114_170409,26,77.45633251698507,61.761698686975144,8.59160755215543,0.001,0.05945205479701944,0.903304502277477,-0.06392343172000264,5.413520336151123
0,20241114_170409,27,77.45633251698507,61.330375040714884,8.107013006175153,0.001,0.058274825237398964,0.902184364622951,-0.06369016290915253,5.609156131744385
