Type,Iteration,Value,Parameter1,Parameter2
GD,0,0.1659,0.757,1.741
GD,10,0.1539,0.824,1.654
GD,20,0.1438,0.875,1.567
GD,30,0.1346,0.918,1.481
GD,40,0.1261,0.952,1.395
GD,50,0.1181,0.977,1.309
GD,60,0.1104,0.993,1.223
GD,70,0.103,1.003,1.137
GD,80,0.0955,1.009,1.052
GD,90,0.0882,1.013,0.966
GD,100,0.0808,1.016,0.88
GD,110,0.0735,1.018,0.794
GD,120,0.0662,1.021,0.709
GD,130,0.0589,1.022,0.624
GD,140,0.0517,1.024,0.539
GD,150,0.0446,1.026,0.455
GD,160,0.0377,1.028,0.371
GD,170,0.031,1.03,0.289
GD,180,0.0247,1.032,0.21
GD,190,0.0192,1.034,0.136
NES,0,0.1403,1.545,1.547
NES,10,0.0135,1.673,-0.128
NES,20,0.0144,1.668,-0.145
NES,30,0.0171,1.65,-0.192
NES,40,0.0115,1.4,-0.289
NES,40,0.0115,1.4,-0.289
NES,50,0.006,1.373,-0.265
NES,50,0.006,1.373,-0.265
NES,60,0.0031,1.337,-0.213
NES,60,0.0031,1.337,-0.213
NES,70,0.009,1.375,-0.279
NES,70,0.009,1.375,-0.279
NES,80,0.0056,1.421,-0.084
NES,90,0.0052,1.393,-0.08
